,Position,Track Name,Artist,Streams,URL,date
90,91,MODO TURBO,Luísa Sonza,1014285,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag,2020-12-28
91,92,Falling,Trevor Daniel,1013332,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,2020-12-28
92,93,Rain On Me (with Ariana Grande),Lady Gaga,1012167,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-12-28
93,94,bad guy,Billie Eilish,1009545,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-12-28
94,95,Stuck with U (with Justin Bieber),Ariana Grande,1001365,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-12-28
95,96,Sofia,Clairo,998466,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,2020-12-28
96,97,Robbery,Juice WRLD,991190,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2020-12-28
97,98,Last Christmas,Wham!,982658,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2020-12-28
98,99,Midnight Sky,Miley Cyrus,981079,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX,2020-12-28
99,100,Despeinada,Ozuna,977627,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,2020-12-28
100,101,Polvo,Nicky Jam,976996,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5,2020-12-28
101,102,Hawái - Remix,Maluma,973234,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F,2020-12-28
102,103,At My Worst,Pink Sweat$,971790,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB,2020-12-28
103,104,Daisy,Ashnikko,969087,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,2020-12-28
104,105,Dreams - 2004 Remaster,Fleetwood Mac,968734,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,2020-12-28
105,106,Break My Heart,Dua Lipa,952735,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020-12-28
106,107,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,949662,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG,2020-12-28
107,108,Life Is Good (feat. Drake),Future,947581,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,2020-12-28
108,109,HIGHEST IN THE ROOM,Travis Scott,946703,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2020-12-28
109,110,Mood Swings (feat. Lil Tjay),Pop Smoke,929375,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,2020-12-28
110,111,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,926856,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,2020-12-28
111,112,Daddy Issues,The Neighbourhood,924133,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,2020-12-28
112,113,Shallow,Lady Gaga,921118,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020-12-28
113,114,Believer,Imagine Dragons,906890,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-12-28
114,115,Slay3r,Playboi Carti,898727,https://open.spotify.com/track/1eMNW1HQjF1dbb4GtnmpaX,2020-12-28
115,116,Godzilla (feat. Juice WRLD),Eminem,896988,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-12-28
116,117,Jocelyn Flores,XXXTENTACION,896641,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2020-12-28
117,118,How You Like That,BLACKPINK,896638,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,2020-12-28
118,119,All Girls Are The Same,Juice WRLD,892044,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,2020-12-28
119,120,"no body, no crime (feat. HAIM)",Taylor Swift,890826,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo,2020-12-28
120,121,If the World Was Ending - feat. Julia Michaels,JP Saxe,887167,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-12-28
121,122,7 rings,Ariana Grande,881008,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2020-12-28
122,123,my ex's best friend (with blackbear),Machine Gun Kelly,880383,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,2020-12-28
123,124,Say You Won't Let Go,James Arthur,873995,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-12-28
124,125,La Jeepeta - Remix,Nio Garcia,869527,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,2020-12-28
125,126,Intentions (feat. Quavo),Justin Bieber,869200,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-12-28
126,127,Mi Cuarto,Jerry Di,866142,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ,2020-12-28
127,128,Toosie Slide,Drake,865767,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,2020-12-28
128,129,Deep End,Fousheé,865705,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA,2020-12-28
129,130,Ride It,Regard,862449,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2020-12-28
130,131,Dior,Pop Smoke,859352,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,2020-12-28
131,132,Heat Waves,Glass Animals,858241,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,2020-12-28
132,133,Perfect,Ed Sheeran,853259,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2020-12-28
133,134,POPSTAR (feat. Drake),DJ Khaled,851496,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,2020-12-28
134,135,ily (i love you baby) (feat. Emilee),Surf Mesa,851062,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020-12-28
135,136,Way Out (feat. Big Sean),Jack Harlow,850395,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W,2020-12-28
136,137,Falling,Harry Styles,847433,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-12-28
137,138,ROXANNE,Arizona Zervas,846995,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-12-28
138,139,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),C. Tangana,845867,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971,2020-12-28
139,140,Love Not War (The Tampa Beat),Jason Derulo,835482,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm,2020-12-28
140,141,Santa Tell Me,Ariana Grande,832959,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,2020-12-28
141,142,everything i wanted,Billie Eilish,828605,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-12-28
142,143,Tyler Herro,Jack Harlow,828210,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ,2020-12-28
143,144,HACIENDO QUE ME AMAS,Bad Bunny,821670,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4,2020-12-28
144,145,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,818035,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2,2020-12-28
145,146,Say So,Doja Cat,813006,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-12-28
146,147,Si Me Tomo Una Cerveza,Migrantes,810093,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N,2020-12-28
147,148,Bohemian Rhapsody - Remastered 2011,Queen,809484,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2020-12-28
148,149,SICKO MODE,Travis Scott,803923,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2020-12-28
149,150,Why'd You Only Call Me When You're High?,Arctic Monkeys,799144,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ,2020-12-28
150,151,All We Got (feat. KIDDO),Robin Schulz,796488,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE,2020-12-28
151,152,gold rush,Taylor Swift,796016,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,2020-12-28
152,153,Show Out (with Skepta & Pop Smoke),Kid Cudi,795116,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv,2020-12-28
153,154,Shape of You,Ed Sheeran,793385,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2020-12-28
154,155,SAD!,XXXTENTACION,788126,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2020-12-28
155,156,‘tis the damn season,Taylor Swift,786452,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA,2020-12-28
156,157,Tequila Shots,Kid Cudi,782696,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a,2020-12-28
157,158,La Luz,Sech,774365,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol,2020-12-28
158,159,De Cora <3,Rauw Alejandro,773678,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2,2020-12-28
159,160,Lovesick Girls,BLACKPINK,771835,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020-12-28
160,161,Do I Wanna Know?,Arctic Monkeys,768351,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,2020-12-28
161,162,Ice Cream (with Selena Gomez),BLACKPINK,762566,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,2020-12-28
162,163,hot girl bummer,blackbear,760720,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,2020-12-28
163,164,Caramelo,Ozuna,754567,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo,2020-12-28
164,165,Go Crazy,Chris Brown,753081,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020-12-28
165,166,Yellow,Coldplay,747319,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,2020-12-28
166,167,I Don't Care (with Justin Bieber),Ed Sheeran,745971,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-12-28
167,168,Hayloft,Mother Mother,735693,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq,2020-12-28
168,169,Ponte Pa' Mi,Justin Quiles,731660,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR,2020-12-28
169,170,Star Shopping,Lil Peep,728206,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp,2020-12-28
170,171,All of Me,John Legend,725953,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,2020-12-28
171,172,Kings & Queens,Ava Max,715690,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI,2020-12-28
172,173,Maniac,Conan Gray,708407,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,2020-12-28
173,174,Diamonds,Sam Smith,707659,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS,2020-12-28
174,175,Without Me,Halsey,707219,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,2020-12-28
175,176,Electric Love,BØRNS,705457,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,2020-12-28
176,177,I CAN'T STOP ME,TWICE,703494,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,2020-12-28
177,178,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,702722,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,2020-12-28
178,179,Fever,Dua Lipa,698133,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w,2020-12-28
179,180,Dancing in My Room,347aidan,696403,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,2020-12-28
180,181,In Your Eyes,The Weeknd,695302,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,2020-12-28
181,182,when the party's over,Billie Eilish,689703,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2020-12-28
182,183,Gnat,Eminem,686589,https://open.spotify.com/track/6cS9PmLky2NhLOhpIsUlow,2020-12-28
183,184,rockstar (feat. 21 Savage),Post Malone,685821,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2020-12-28
184,185,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,682082,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA,2020-12-28
185,186,Azul,J Balvin,679170,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,2020-12-28
186,187,Sunday Best,Surfaces,679104,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-12-28
187,188,Moonlight,XXXTENTACION,675435,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2020-12-28
188,189,Be Kind (with Halsey),Marshmello,672040,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,2020-12-28
189,190,Be Alright,Dean Lewis,671623,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2020-12-28
190,191,Everybody Dies In Their Nightmares,XXXTENTACION,668906,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,2020-12-28
191,192,The Less I Know The Better,Tame Impala,666355,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,2020-12-28
192,193,"thank u, next",Ariana Grande,664425,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2020-12-28
193,194,Recairei - Ao Vivo,Os Barões Da Pisadinha,660558,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,2020-12-28
194,195,Happier,Marshmello,660418,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020-12-28
195,196,Lose Control,MEDUZA,659648,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2020-12-28
196,197,Someone To You,BANNERS,655510,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,2020-12-28
197,198,tolerate it,Taylor Swift,655322,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,2020-12-28
198,199,E-GIRLS ARE RUINING MY LIFE!,CORPSE,653435,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,2020-12-28
199,200,Photograph,Ed Sheeran,652573,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2020-12-28
